06/01/2021 11:51:24:439 [08796] | INFO  | Initializing crosire's ReShade version '2.0.3.1120' built on '2016-04-03 19:20:33' loaded from "E:\Games\Freelancer Game\FL_MOD\EXE\d3d8.dll" to "E:\Games\Freelancer Game\FL_MOD\EXE\Freelancer_window.exe" ...
06/01/2021 11:51:25:250 [08796] | INFO  | Installing delayed hooks for "C:\Windows\system32\d3d8.dll" ...
06/01/2021 11:51:25:250 [08796] | INFO  | > Found 1 match(es). Installing ...
06/01/2021 11:51:25:250 [08796] | INFO  | > Installed 1 hook(s).
06/01/2021 11:51:25:290 [08796] | INFO  | Redirecting 'RegisterClassExA(0019C760)' ...
06/01/2021 11:51:25:290 [08796] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'DGDRIVERROOT'.
06/01/2021 11:51:25:293 [08796] | INFO  | Redirecting 'RegisterClassExA(0019C8E8)' ...
06/01/2021 11:51:25:293 [08796] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'DGDRIVERROOT'.
06/01/2021 11:51:25:297 [08796] | INFO  | Installing delayed hooks for "C:\Windows\system32\dxgi.dll" (Just loaded via 'LoadLibraryA("DXGI.DLL")') ...
06/01/2021 11:51:25:297 [08796] | INFO  | > Found 7 match(es). Installing ...
06/01/2021 11:51:25:537 [08796] | INFO  | > Installed 7 hook(s).
06/01/2021 11:51:25:538 [08796] | INFO  | Installing delayed hooks for "C:\Windows\system32\d3d11.dll" (Just loaded via 'LoadLibraryA("D3D11.DLL")') ...
06/01/2021 11:51:25:538 [08796] | INFO  | > Found 2 match(es). Installing ...
06/01/2021 11:51:25:607 [08796] | INFO  | > Installed 2 hook(s).
06/01/2021 11:51:25:610 [08796] | INFO  | Redirecting 'RegisterClassExA(0019C8B0)' ...
06/01/2021 11:51:25:610 [08796] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'DGD3D11ROOT'.
06/01/2021 11:51:25:610 [08796] | INFO  | Redirecting 'CreateDXGIFactory1({770AAE78-F26F-4DBA-A829-253C83D1B387}, 059301C8)' ...
06/01/2021 11:51:25:613 [08796] | INFO  | Redirecting 'CreateDXGIFactory1({770AAE78-F26F-4DBA-A829-253C83D1B387}, 0019C8E0)' ...
06/01/2021 11:51:25:613 [08796] | INFO  | Redirecting 'D3D11CreateDevice(05B90330, 0, 00000000, 0, 6E62C2F8, 3, 7, 059303E0, 059303F0, 059303E4)' ...
06/01/2021 11:51:25:613 [08796] | INFO  | > Passing on to 'D3D11CreateDeviceAndSwapChain':
06/01/2021 11:51:25:613 [08796] | INFO  | Redirecting 'D3D11CreateDeviceAndSwapChain(05B90330, 0, 00000000, 0, 6E62C2F8, 3, 7, 00000000, 00000000, 059303E0, 059303F0, 059303E4)' ...
06/01/2021 11:51:25:770 [08796] | WARN  | Reference count for 'IDXGIDevice' object 05C3AC88 is inconsistent: 55, but expected 1.
06/01/2021 11:51:25:770 [08796] | WARN  | Reference count for 'ID3D11Device' object 05C33368 is inconsistent: 53, but expected 0.
06/01/2021 11:51:25:803 [08796] | INFO  | Redirecting 'IDirect3D8::CreateDevice(007B3E50, 0, 1, 0004083C, 64, 0019D4E8, 040DA6B0)' ...
06/01/2021 11:51:25:803 [08796] | INFO  | Redirecting 'IDirect3D9::CreateDevice(0074B820, 0, 1, 0004083C, 0x40, 00189254, 00189248)' ...
06/01/2021 11:51:25:902 [08796] | INFO  | Starting input capture for window 0004083C ...
06/01/2021 11:51:25:907 [08796] | INFO  | Recreated runtime environment on runtime 05BDD628.
06/01/2021 11:51:26:393 [08796] | INFO  | Loading effect from "E:\Games\Freelancer Game\FL_MOD\EXE\ReShade.fx" ...
06/01/2021 11:51:27:590 [08796] | INFO  | > Successfully compiled effect.
06/01/2021 11:51:29:038 [08796] | INFO  | Redirecting 'RegisterRawInputDevices(5F5A64F4, 1, 12)' ...
06/01/2021 11:51:29:038 [08796] | INFO  | Starting raw input capture for window 001E084E ...
06/01/2021 11:51:31:894 [08796] | INFO  | Redirecting 'RegisterRawInputDevices(5F5A64D0, 1, 12)' ...
06/01/2021 11:51:32:048 [08796] | WARN  | Reference count for 'IDirect3DDevice8' object 05C2B0D0 (39) is inconsistent.
06/01/2021 11:51:32:048 [08796] | WARN  | Reference count for 'IDirect3DDevice8' object 05C2B0D0 (38) is inconsistent.
06/01/2021 11:51:32:048 [08796] | INFO  | Destroyed runtime environment on runtime 05BDD628.
06/01/2021 11:51:32:139 [08796] | INFO  | Exiting ...
06/01/2021 11:51:32:139 [08796] | INFO  | Uninstalling 41 hook(s) ...
06/01/2021 11:51:33:063 [08796] | INFO  | Exited.
